iter	MultiClass
0	1.01911109
1	0.8241608811
2	0.6969859852
3	0.6299661889
4	0.5731529119
5	0.5144469475
6	0.4558922655
7	0.4031895581
8	0.3841044227
9	0.3675163173
10	0.335448151
11	0.3154029553
12	0.2869437226
13	0.270990584
14	0.2479831863
15	0.233555361
16	0.2266059893
17	0.2191247721
18	0.1998471016
19	0.1899278296
20	0.1811783467
21	0.1711129667
22	0.1631339352
23	0.1583274081
24	0.1471507838
25	0.1393967654
26	0.1314923262
27	0.1244127666
28	0.1217426478
29	0.1160804717
30	0.1100815041
31	0.1049001054
32	0.1003653205
33	0.09719207283
34	0.09290525621
35	0.08808974691
36	0.08454168816
37	0.08117416526
38	0.07705256492
39	0.07418051175
40	0.07063573611
41	0.06939420717
42	0.06720684309
43	0.06471713096
44	0.06243196919
45	0.06071207661
46	0.05898129227
47	0.05700173876
48	0.05391010575
49	0.05213807296
50	0.05074383657
51	0.0487616082
52	0.04730066269
53	0.04639979438
54	0.04425206043
55	0.04166276074
56	0.04015503706
57	0.03904414667
58	0.03779242748
59	0.03664124836
60	0.03532604961
61	0.03387446003
62	0.03292525041
63	0.03206214024
64	0.0309764667
65	0.03021428926
66	0.02954061694
67	0.02853066189
68	0.0279211423
69	0.02711856735
70	0.02620550791
71	0.02555586427
72	0.02507371617
73	0.02361869328
74	0.02304982289
75	0.0221982554
76	0.0216710952
77	0.02093344491
78	0.0203186241
79	0.01962699196
80	0.01902920352
81	0.01882477605
82	0.01834110158
83	0.01769642304
84	0.01735326555
85	0.01689645256
86	0.01644852416
87	0.01597420552
88	0.01547525411
89	0.01511740607
90	0.01471958154
91	0.01425971997
92	0.01375996386
93	0.01332085482
94	0.01310260654
95	0.01245263616
96	0.01226034708
97	0.01187597533
98	0.01139853038
99	0.01122398455
100	0.01074124303
101	0.01045046091
102	0.01020884071
103	0.01007048436
104	0.009822721225
105	0.009615237451
106	0.009521216447
107	0.009347034019
108	0.009152735839
109	0.008960448903
110	0.008723125096
111	0.008426427098
112	0.008240460249
113	0.008083758338
114	0.007961588352
115	0.007808434366
116	0.007628657187
117	0.007343769373
118	0.007143242991
119	0.007005985476
120	0.006813667077
121	0.006713737202
122	0.00658760869
123	0.006440278334
124	0.006298761648
125	0.006176483746
126	0.006064215171
127	0.005931603439
128	0.005707850521
129	0.005617328976
130	0.00555417818
131	0.005365501935
132	0.005229682002
133	0.00503822897
134	0.004926862227
135	0.004833835188
136	0.004718673476
137	0.004656932294
138	0.004544828498
139	0.004469593999
140	0.004420982534
141	0.004336750438
142	0.004270071202
143	0.004111208483
144	0.004078768621
145	0.004001756326
146	0.003912617175
147	0.003771244407
148	0.003689241687
149	0.003639795442
150	0.003592885988
151	0.003487141455
152	0.003443024376
153	0.003385907932
154	0.003284065181
155	0.003228549753
156	0.003151414483
157	0.003097344734
158	0.003029042146
159	0.002961969406
160	0.002925251728
161	0.00287743155
162	0.002800255724
163	0.002758650078
164	0.002698391581
165	0.002650864385
166	0.002594546896
167	0.00257416713
168	0.002532692406
169	0.00249701005
170	0.002445748648
171	0.002399387526
172	0.002333542094
173	0.002291507381
174	0.002236142107
175	0.002212576563
176	0.002154289945
177	0.002128391984
178	0.002073470271
179	0.002044860959
180	0.001992500319
181	0.001953770323
182	0.0019074179
183	0.001861718613
184	0.001818043745
185	0.001804279756
186	0.001767265773
187	0.001749967905
188	0.001741543768
189	0.001697570036
190	0.001672963453
191	0.001647987828
192	0.001584440242
193	0.001556127517
194	0.001538838606
195	0.001506057538
196	0.001495035864
197	0.001486942976
198	0.001448986373
199	0.001414176317
200	0.001393334605
201	0.001361885222
202	0.001339813783
203	0.001326703438
204	0.001306371142
205	0.001275076201
206	0.001260710765
207	0.001239863174
208	0.001214486906
209	0.001189926086
210	0.001177131669
211	0.001157635589
212	0.001112749881
213	0.001091752274
214	0.001077535781
215	0.001049849524
216	0.001024738309
217	0.001013315492
218	0.0009949734193
219	0.0009846059581
220	0.0009706942894
221	0.0009607477552
222	0.0009509913889
223	0.0009385738947
224	0.0009323206986
225	0.0009173108422
226	0.000898152819
227	0.0008844286417
228	0.0008734004601
229	0.0008628310504
230	0.0008570594864
231	0.0008447104196
232	0.0008277885921
233	0.0008123466383
234	0.0008049155321
235	0.0007974131934
236	0.000787679292
237	0.0007735223519
238	0.0007591160957
239	0.0007496904514
240	0.0007386166138
241	0.0007218849432
242	0.0007153671713
243	0.0007030681317
244	0.0006928730315
245	0.0006763072598
246	0.0006652853846
247	0.0006597396319
248	0.0006531911339
249	0.0006408066257
250	0.0006314545632
251	0.0006167302286
252	0.0006083983377
253	0.0006017248096
254	0.0005892081519
255	0.0005831147229
256	0.0005751873902
257	0.0005720587496
258	0.0005601150419
259	0.0005555165946
260	0.0005401464448
261	0.0005297504269
262	0.0005242347001
263	0.0005162744584
264	0.0005111544175
265	0.0005054337721
266	0.0004956488297
267	0.0004916705181
268	0.0004817791688
269	0.0004757246979
270	0.0004726210406
271	0.0004647598886
272	0.0004595268134
273	0.0004532123947
274	0.0004503708984
275	0.0004471045284
276	0.0004415886827
277	0.0004377042281
278	0.0004349558293
279	0.0004309373846
280	0.0004267611595
281	0.0004240625613
282	0.0004146688435
283	0.0004092899009
284	0.0004065226663
285	0.000398228554
286	0.0003882862217
287	0.000385918735
288	0.0003822487168
289	0.000377250291
290	0.0003735644786
291	0.0003714105111
292	0.000367147976
293	0.0003644854022
294	0.000358778032
295	0.0003513170083
296	0.0003470925709
297	0.0003436930761
298	0.0003382587094
299	0.0003356128933
300	0.0003322291957
301	0.0003289363461
302	0.0003255256385
303	0.0003230561901
304	0.0003179547695
305	0.000310718366
306	0.0003087424708
307	0.0003062502034
308	0.0003021462167
309	0.0003002743695
310	0.0002974886047
311	0.0002940619933
312	0.0002928581202
313	0.0002912483311
314	0.0002868318107
315	0.0002807502599
316	0.0002788882979
317	0.0002755767486
318	0.0002732435567
319	0.0002696568535
320	0.000268507315
321	0.000266951415
322	0.0002647244996
323	0.0002622014826
324	0.0002595062436
325	0.0002553720086
326	0.0002534620084
327	0.0002507003703
328	0.0002473828396
329	0.0002431151886
330	0.0002409355696
331	0.0002393591183
332	0.0002381763429
333	0.0002352143172
334	0.0002339601997
335	0.0002334049552
336	0.0002324446345
337	0.0002301919023
338	0.0002277331163
339	0.000224569175
340	0.0002232259269
341	0.0002204284869
342	0.0002196432066
343	0.000217401302
344	0.0002146869969
345	0.0002130699996
346	0.0002119871432
347	0.0002110848089
348	0.0002083133447
349	0.0002073321879
350	0.0002054494378
351	0.0002038512001
352	0.0002032704416
353	0.0002022655209
354	0.0002016703013
355	0.0001993385652
356	0.0001988234964
357	0.0001979576559
358	0.0001963757554
359	0.0001953001382
360	0.0001935760204
361	0.0001923854945
362	0.0001900399298
363	0.000189667447
364	0.0001873493909
365	0.0001862959241
366	0.0001847981808
367	0.0001839584781
368	0.0001827568234
369	0.0001804676322
370	0.0001792675586
371	0.0001781340532
372	0.0001756467836
373	0.000174111951
374	0.0001727983614
375	0.0001710181966
376	0.0001693619833
377	0.0001679491749
378	0.0001661465776
379	0.0001653979826
380	0.0001646167773
381	0.0001638885112
382	0.0001623869937
383	0.0001610002606
384	0.0001600228323
385	0.0001589163484
386	0.0001578378613
387	0.0001559838735
388	0.0001555515461
389	0.0001544597065
390	0.0001535321129
391	0.000153029063
392	0.00015236897
393	0.0001495338083
394	0.0001486875772
395	0.0001463984454
396	0.0001455186746
397	0.0001434396026
398	0.0001428587138
399	0.0001420628799
400	0.0001409633998
401	0.0001402257729
402	0.0001390664088
403	0.0001375210916
404	0.0001368802505
405	0.0001360159983
406	0.000134852884
407	0.0001341045153
408	0.0001329570497
409	0.000132133314
410	0.0001306868285
411	0.0001296156287
412	0.0001283450895
413	0.0001278045153
414	0.0001264903519
415	0.0001258994213
416	0.0001251037839
417	0.0001242892018
418	0.0001236219851
419	0.0001211683111
420	0.0001207237408
421	0.0001201767642
422	0.0001195417679
423	0.0001191732285
424	0.0001188247078
425	0.0001181744151
426	0.0001175668562
427	0.0001170536919
428	0.0001167243596
429	0.0001155880063
430	0.0001145364587
431	0.0001140858693
432	0.0001136388723
433	0.0001130223032
434	0.0001117062472
435	0.000110947066
436	0.0001099855117
437	0.0001092967377
438	0.0001088445189
439	0.0001081912453
